Channel,LocalStartTime,Server,Decoder,Sport,Competition,Home,Away,Information,Region
Super Sport Cricket [212],16-01-2025 08:00,Sa4,Not Set ,Cricket,KFC Twenty20 Big Bash,Brisbane Heat,Hobart Hurricanes,,Australia
Infront,16-01-2025 08:40,Itf18,IGM_INF_ITF_CH10 ,Tennis,W50-New Delhi-IND,Yamaguchi,Udvardy,,India
Infront,16-01-2025 08:50,Itf22,IGM_INF_ITF_CH12 ,Tennis,W50-New Delhi-IND,Tian,Prozorova,,India
Infront,16-01-2025 09:00,Euro212,IGM_INF_CH12 ,Ice Hockey,KHL,Amur Khabarovsk,Ak Bars,Regular Season,Russia
NRK 1 [1],16-01-2025 09:20,Euro62,SCAND-2 N ,Ski Jumping,NM 1,,,NM in skiing,Norway
Infront,16-01-2025 09:27,Itf14,IGM_INF_ITF_CH09 ,Tennis,W50-New Delhi-IND,Nugroho,Kozyreva,,India
Infront,16-01-2025 09:30,Euro213,IGM_INF_CH13 ,Ice Hockey,KHL,Admiral Vladivostok,Metallurg Magnitogorsk,Regular Season,Russia
Infront,16-01-2025 09:38,Itf10,IGM_INF_ITF_CH16 ,Tennis,M25 - Chennai - India,Duhan/Javia,Sharma/Singh,,India
Infront,16-01-2025 09:40,Itf9,IGM_INF_ITF_CH15 ,Tennis,M25 - Chennai - India,Sakellaridis/Sinha,Dev/Kalyanpur,,India
Infront,16-01-2025 09:45,Itf3,IGM_INF_ITF_CH13 ,Tennis,M25 - Chennai - India,Agafonov/Lomakin,Eqbal/Shah,,India
Infront,16-01-2025 09:47,Itf19,IGM_INF_ITF_CH11 ,Tennis,W50-New Delhi-IND,Semenistaja,Maklakova,,India
